frame 59:(195, 259), (177, 267), (132, 242), (128, 170), (140, 73), (130, 258), (131, 97)
frame 60:(195, 259), (177, 267), (132, 242), (128, 170), (140, 73), (130, 258), (131, 97)
frame 61:(195, 259), (177, 267), (132, 242), (128, 170), (141, 73), (130, 258), (132, 97)
frame 62:(195, 259), (177, 267), (132, 242), (128, 170), (141, 73), (130, 258), (132, 97)
frame 63:(195, 259), (177, 267), (132, 242), (129, 170), (141, 73), (130, 258), (132, 97)
frame 64:(195, 259), (177, 267), (132, 242), (129, 170), (142, 73), (130, 258), (133, 97)
frame 65:(195, 259), (177, 267), (132, 242), (129, 170), (142, 73), (130, 258), (133, 97)
frame 66:(195, 259), (177, 267), (132, 242), (129, 170), (142, 73), (130, 257), (133, 97)
frame 67:(195, 259), (177, 267), (132, 242), (130, 170), (143, 73), (130, 257), (134, 97)
frame 68:(195, 259), (177, 267), (132, 242), (130, 170), (143, 73), (130, 257), (134, 97)
frame 69:(195, 259), (177, 267), (132, 242), (130, 170), (144, 73), (130, 257), (134, 97)
frame 70:(195, 259), (177, 267), (132, 242), (130, 170), (144, 73), (130, 257), (135, 97)
frame 71:(195, 259), (177, 267), (132, 242), (130, 170), (144, 73), (130, 257), (135, 97)
frame 72:(195, 259), (177, 267), (132, 242), (130, 170), (145, 73), (130, 257), (135, 97)
frame 73:(195, 259), (177, 267), (133, 242), (131, 170), (145, 73), (130, 257), (136, 97)
frame 74:(195, 259), (177, 267), (132, 242), (131, 170), (145, 74), (130, 257), (136, 97)
frame 75:(195, 259), (177, 267), (132, 242), (131, 171), (146, 74), (130, 257), (136, 97)
frame 76:(195, 259), (177, 267), (132, 242), (131, 171), (146, 74), (130, 257), (136, 97)
frame 77:(195, 259), (177, 267), (132, 242), (131, 171), (146, 74), (130, 257), (137, 97)
frame 78:(195, 259), (177, 267), (132, 242), (132, 171), (147, 74), (130, 257), (137, 97)
frame 79:(195, 259), (177, 267), (132, 242), (132, 171), (147, 74), (130, 257), (137, 97)
frame 80:(195, 259), (177, 267), (132, 242), (132, 171), (147, 74), (130, 257), (138, 98)
frame 81:(195, 259), (177, 267), (132, 242), (132, 171), (148, 74), (130, 257), (138, 98)
frame 82:(195, 259), (177, 267), (133, 242), (132, 171), (148, 74), (130, 257), (138, 98)
frame 83:(195, 259), (177, 267), (133, 242), (132, 171), (148, 74), (130, 257), (139, 98)
frame 84:(195, 259), (177, 267), (132, 242), (132, 171), (149, 74), (130, 257), (139, 98)
frame 85:(195, 259), (177, 267), (132, 242), (133, 171), (149, 74), (130, 258), (139, 98)
frame 86:(195, 259), (177, 267), (133, 242), (133, 171), (149, 74), (130, 258), (140, 98)
frame 87:(195, 259), (177, 267), (133, 242), (133, 171), (150, 75), (130, 258), (140, 98)
frame 88:(195, 259), (177, 267), (133, 242), (133, 171), (150, 75), (130, 258), (140, 98)
frame 89:(195, 259), (177, 267), (133, 242), (133, 171), (150, 75), (130, 258), (140, 98)
frame 90:(195, 259), (177, 268), (133, 242), (133, 171), (151, 75), (130, 258), (141, 98)
frame 91:(195, 259), (177, 268), (133, 242), (133, 171), (151, 75), (130, 258), (141, 98)
frame 92:(195, 259), (177, 268), (133, 242), (133, 171), (151, 75), (130, 258), (141, 98)
frame 93:(195, 259), (177, 268), (133, 242), (134, 171), (152, 75), (130, 258), (142, 98)
frame 94:(194, 259), (177, 268), (133, 242), (134, 171), (152, 75), (130, 258), (142, 98)
frame 95:(194, 259), (177, 268), (133, 242), (134, 171), (152, 75), (130, 258), (142, 98)
frame 96:(195, 259), (177, 268), (133, 243), (134, 171), (153, 75), (130, 258), (143, 99)
frame 97:(195, 259), (177, 268), (133, 243), (134, 171), (153, 75), (130, 258), (143, 99)
frame 98:(195, 259), (177, 268), (133, 243), (135, 172), (154, 75), (130, 258), (143, 99)
frame 99:(195, 259), (177, 268), (133, 243), (135, 172), (154, 75), (130, 258), (144, 99)
frame 100:(195, 259), (177, 268), (133, 242), (135, 172), (154, 75), (130, 258), (144, 99)
frame 101:(195, 259), (177, 268), (133, 242), (135, 172), (155, 76), (130, 258), (144, 99)
frame 102:(195, 259), (177, 268), (133, 242), (135, 172), (155, 76), (130, 258), (145, 99)
frame 103:(195, 259), (177, 268), (133, 242), (135, 172), (155, 76), (130, 258), (145, 99)
frame 104:(195, 259), (177, 268), (133, 242), (135, 172), (155, 76), (130, 258), (145, 99)
frame 105:(195, 259), (177, 268), (133, 243), (135, 172), (156, 76), (130, 258), (145, 99)
frame 106:(195, 259), (177, 268), (133, 243), (136, 172), (156, 76), (130, 258), (146, 99)
frame 107:(195, 259), (177, 268), (133, 243), (136, 172), (157, 76), (130, 258), (146, 99)
frame 108:(195, 259), (177, 268), (133, 243), (136, 172), (157, 76), (130, 258), (146, 99)
frame 109:(195, 260), (177, 268), (133, 243), (136, 172), (157, 76), (130, 258), (147, 99)
frame 110:(195, 260), (177, 268), (133, 242), (136, 172), (157, 76), (130, 258), (147, 99)
frame 111:(195, 260), (177, 268), (133, 242), (137, 172), (158, 76), (130, 258), (147, 99)
frame 112:(195, 260), (177, 268), (133, 242), (137, 172), (158, 77), (130, 258), (148, 99)
frame 113:(195, 260), (177, 268), (133, 242), (137, 172), (158, 77), (130, 258), (148, 100)
frame 114:(195, 260), (177, 268), (133, 243), (137, 172), (159, 77), (130, 258), (148, 100)
frame 115:(195, 260), (177, 268), (133, 243), (137, 172), (159, 77), (130, 258), (148, 100)
frame 116:(195, 260), (177, 268), (133, 243), (137, 172), (160, 77), (130, 258), (149, 100)
frame 117:(195, 260), (177, 268), (133, 243), (138, 172), (160, 77), (130, 258), (149, 100)
frame 118:(195, 260), (177, 268), (133, 243), (138, 172), (160, 77), (130, 258), (149, 100)
frame 119:(195, 260), (177, 268), (133, 243), (138, 172), (161, 77), (130, 258), (150, 100)
frame 120:(195, 260), (177, 268), (133, 243), (138, 172), (161, 77), (130, 258), (150, 100)
frame 121:(195, 260), (177, 268), (133, 243), (138, 172), (162, 77), (130, 258), (151, 100)
frame 122:(195, 260), (177, 269), (134, 242), (138, 172), (162, 77), (130, 258), (151, 100)
frame 123:(195, 260), (177, 268), (134, 242), (139, 172), (162, 77), (130, 258), (151, 100)
frame 124:(195, 260), (177, 269), (133, 242), (139, 172), (163, 77), (130, 258), (152, 100)
frame 125:(195, 260), (177, 268), (133, 242), (139, 172), (163, 77), (130, 258), (152, 100)
frame 126:(195, 260), (177, 268), (134, 242), (139, 172), (164, 77), (130, 257), (152, 100)
frame 127:(195, 260), (177, 268), (134, 242), (139, 172), (164, 77), (130, 257), (153, 100)
frame 128:(195, 260), (177, 268), (134, 242), (139, 172), (165, 77), (130, 257), (153, 100)
